"timestamp","Pot_PV_power_W","AC_consumption_W","Charged_energy_W","Discharged_energy_W","PV_power_W","State_of_charge","Nur 1A S1 AC_Day_Energy_session","Nur 1A S1 vRELAY1_LVL","Nur 1A S2 AC_Day_Energy_session","Nur 1A S2 vRELAY1_LVL","Nur 1B S1 AC_Day_Energy_session","Nur 1B S1 vRELAY1_LVL","Nur 1C S1 AC_Day_Energy_session","Nur 1C S1 vRELAY1_LVL","Nur 2A S1 AC_Day_Energy_session","Nur 2A S1 vRELAY1_LVL","Nur 2A S2 AC_Day_Energy_session","Nur 2A S2 vRELAY1_LVL","Nur 2B S1 AC_Day_Energy_session","Nur 2B S1 vRELAY1_LVL","Nur 2C S1 AC_Day_Energy_session","Nur 2C S1 vRELAY1_LVL","Playground S1 AC_Day_Energy_session","Playground S1 vRELAY1_LVL","Playground S2 AC_Day_Energy_session","Playground S2 vRELAY1_LVL","Nur 1A CPE1 LED1_P","Nur 1A CPE1 LED2_P","Nur 1A CPE1 LED3_P","Nur 1A CPE2 LED1_P","Nur 1A CPE2 LED2_P","Nur 1A CPE2 LED3_P","Nur 1B CPE3 LED1_P","Nur 1B CPE3 LED2_P","Nur 1B CPE3 LED3_P","Nur 1B CPE4 LED1_P","Nur 1B CPE4 LED2_P","Nur 1B CPE4 LED3_P","Nur 1C CPE5 LED1_P","Nur 1C CPE5 LED2_P","Nur 1C CPE5 LED3_P","Nur 1C CPE6 LED1_P","Nur 1C CPE6 LED2_P","Nur 1C CPE6 LED3_P","Nur 2A CPE7 LED1_P","Nur 2A CPE7 LED2_P","Nur 2A CPE7 LED3_P","Nur 2A CPE8 LED1_P","Nur 2A CPE8 LED2_P","Nur 2A CPE8 LED3_P","Nur 2B CPE10 LED1_P","Nur 2B CPE10 LED2_P","Nur 2B CPE10 LED3_P","Nur 2B CPE9 LED1_P","Nur 2B CPE9 LED2_P","Nur 2B CPE9 LED3_P","Nur 2C CPE11 LED1_P","Nur 2C CPE11 LED2_P","Nur 2C CPE11 LED3_P","Nur 2C CPE12 LED1_P","Nur 2C CPE12 LED2_P","Nur 2C CPE12 LED3_P","Playground CPE1 LED1_P","Playground CPE1 LED2_P","Playground CPE1 LED3_P","Playground CPE2 LED1_P","Playground CPE2 LED2_P","Playground CPE2 LED3_P","Playground CPE3 LED1_P","Playground CPE3 LED2_P","Playground CPE3 LED3_P","Playground CPE4 LED1_P","Playground CPE4 LED2_P","Playground CPE4 LED3_P","Playground CPE5 LED1_P","Playground CPE5 LED2_P","Playground CPE5 LED3_P","Streetlight 1 CPE LED1_P","Streetlight 1 CPE LED2_P","Streetlight 1 CPE LED3_P","Streetlight 2 CPE LED1_P","Streetlight 2 CPE LED2_P","Streetlight 2 CPE LED3_P","Streetlight 3 CPE LED1_P","Streetlight 3 CPE LED2_P","Streetlight 3 CPE LED3_P"
2019-08-01 00:00:00,0,237.75,0,270.00000000001,0,91.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1782,0,0,0,0,0,4.81571428571429,0,0,0,0,0,4.25714285714286,0,0,0,0,0,3.265,0,0,0,4.7865,4.82975,4.75,4.81122222222222,4.769,4.49155555555556,0,0,0,0,0,4.11125,1.377,1.384875,1.3043,1.348,1.45733333333333,1.376,1.36715384615385,1.374625,1.3882,1.32855555555556,1.3775,1.33571428571429,1.404375,1.3893,1.392,4.46315384615385,4.50485714285714,4.4930625,1.9102,1.17645,0.704625,4.45325,4.53657142857143,6.503
2019-08-01 01:00:00,0,237.25,0,259.999999999991,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48416666666667,0,0,0,0,0,3.69045454545455,0,0,0,0,0,4.7675,0,0,0,0,0,3.97985714285714,0,0,0,4.92288888888889,4.869,4.69666666666667,4.862875,4.94188888888889,5.89075,0,0,0,0,0,4.26616666666667,1.3533,1.34822222222222,1.33222222222222,1.401,1.408,1.3986,1.38,1.40866666666667,1.42191666666667,1.31825,1.378625,1.39966666666667,1.3281,1.33477777777778,1.376,4.49811764705882,4.51405555555556,3.98368421052632,1.15014583333333,1.1105,0,4.5567,4.63014285714286,3.664875
2019-08-01 02:00:00,0,237.96,0,270.00000000001,0,90.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.90525,0,0,0,0,0,4.24144444444444,0,0,0,0,0,5.28728571428571,0,0,0,0,0,4.91628571428571,0,0,0,4.75383333333333,4.987,5.41071428571429,4.83511111111111,4.77909090909091,5.49844444444444,0,0,0,0,0,4.401,1.3773,1.372875,1.35122222222222,1.44,1.3945,1.342,1.39125,1.41609090909091,1.37292307692308,1.423,1.37675,1.363,1.38444444444444,1.37325,1.3673,4.464,4.4625,4.3408125,0.079,0,0,4.409,4.41375,3.99022222222222
2019-08-01 03:00:00,0,238,0,259.999999999991,0,89.3,0,0,0,0,0,0,0,0,0,0,0.255,0.625,0,0,0,0,0,0,0,0,0,0,4.37771428571429,0,0,0,0,0,4.803,0,0,0,0,0,4.80225,0,0,0,0,0,5.63077777777778,0,0,0,3.98016666666667,4.23466666666667,4.8905,3.831,3.9107,3.658,0,0,0,0,0,2.3341,0,0,0,0,0.1353,0,0.111833333333333,0,0,0.11275,0.122545454545455,0.250727272727273,0.136,0,0,0,0,0,0.325857142857143,0,0,0,0,0
2019-08-01 04:00:00,0,237.75,0,270.00000000001,0,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310606060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 05:00:00,0,126,0,159.999999999997,0,88,0,0,0,0,0,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0.641333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 06:00:00,30.5922961065,47.8333333333333,0,49.9999999999829,8.33333333333333,87.9,0,0,0,0,0.153,0.5,0,0,0,0.555555555555556,3.706,3.875,0,0,0,0,0,1.46940035273369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 07:00:00,231.624126124,47,20.0000000000102,10.0000000000193,78,88,0,0,0,0,0,0,0,0,4.488,4.375,3.995,3.25,0,0,0,0,0,1.79805996472663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 08:00:00,548.410395985,54.75,179.999999999978,0,295,88.5,0,0,0,0,0.255,0.5,0,0,4.471,4.71428571428571,3.893,3.875,0,0,0,0,0,1,0.918,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 09:00:00,972.83318422,78.5333333333333,530.000000000001,0,749.933333333333,100,0,0,0,0,0,0,0,0,4.93,5,3.281,3.14285714285714,0,0,0,0,0.119,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 10:00:00,1378.664301535,86.3333333333333,760.000000000019,0,937,100,0,0,0,0,0,0,0,0,5.049,4.875,0.272,0.857142857142857,0,0,0,0,0,0,0.034,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820083333333333,0,1.00077777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 11:00:00,1684.647397795,85,1179.99999999998,0,1278.58333333333,100,0,0,0,0,0,0,0,0,5.185,5,0,0,0,0,0,0,3.03643564356436,5,0.102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.0233,0.0235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 12:00:00,1855.5843538,86.4615384615385,670.000000000016,0,872.384615384615,100,0.187,0.375,0,0,0.425,0.5,0,0,3.298,3,0,0.142857142857143,0,0,0,0,4.44356435643564,1,0.306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 13:00:00,1824.004241965,89.375,389.999999999986,0,525,100,2.414,2.42857142857143,0,0,0,0,0,0,0.102,0.285714285714286,0,0.25,0,0,0,0,0.00680000000000014,1,0.374,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 14:00:00,1418.041943655,84,230.000000000018,0,317.25,100,2.72,2.75,0,0,2.329,2.5,0,0,0,0,0,0,0,0,0,0,0.0612000000000004,0,0.0169999999999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01 15:00:00,1003.107068275,81.75,149.999999999977,0,252.25,100,0.935,0.75,0,0,3.995,3.25,0,0,0,0,1.275,1.625,0,0,0,0,NA,0,0.119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103714285714286,0,0,0,0,0,0,2.04809090909091,2.46472727272727,2.10241666666667,2.58785714285714,2.98988888888889,2.675625,2.52725,2.6876,2.29975,1.60772727272727,1.788,2.55346153846154,2.2512,2.20025,1.53777777777778,2.34723076923077,2.39592307692308,2.7855,1.8094,1.666875,1.304375,1.68825,2.20075,2.36744444444444
2019-08-01 16:00:00,410.42854178,82.8,120.000000000005,0,206.4,100,0,0,0,0,3.723,3.375,0,0,2.754,2.875,0.017000000000003,0.142857142857143,0,0,0,0,NA,1.41111111111111,0.119,1,0,0,2.9827,0,0,0,0,0,3.05014285714286,0,0,0,0,0,2.990375,0,0,0,0,0,1.95633333333333,0,0,0,2.13655555555556,1.16233333333333,2.180375,2.35266666666667,2.15227272727273,2.3502,0,0,0,0,0,2.62455555555556,4.38155555555556,4.3775,4.3761,4.41177777777778,4.45145454545455,4.237,4.44341666666667,4.48172727272727,3.78333333333333,4.405,4.471,4.49958333333333,4.3697,4.4222,4.7042,4.41145454545455,4.45463636363636,4.7505,4.578,4.264,2.222,4.49316666666667,4.47536363636364,4.18055555555556
